date,tournament,adversario,categoria_adversario,rank,gols_brasil,gols_adversario
2001-03-03,Friendly,USA,B,16.0,2.0,1.0
2001-03-07,Friendly,Mexico,B,12.0,3.0,3.0
2001-03-28,FIFA World Cup qualification,Ecuador,D,53.0,0.0,1.0
2001-04-25,FIFA World Cup qualification,Peru,D,50.0,1.0,1.0
2001-05-31,Confederations Cup,Cameroon,C,37.0,2.0,0.0
2001-06-02,Confederations Cup,Canada,E,71.0,0.0,0.0
2001-06-04,Confederations Cup,Japan,D,44.0,0.0,0.0
2001-06-07,Confederations Cup,France,A,1.0,1.0,2.0
2001-06-09,Confederations Cup,Australia,E,68.0,0.0,1.0
2001-07-01,FIFA World Cup qualification,Uruguay,C,40.0,0.0,1.0
2001-07-12,Copa América,Mexico,B,15.0,0.0,1.0
2001-07-15,Copa América,Peru,D,57.0,2.0,0.0
2001-07-18,Copa América,Paraguay,A,8.0,3.0,1.0
2001-07-23,Copa América,Honduras,D,48.0,0.0,2.0
2001-08-09,Friendly,Panama,E,112.0,5.0,0.0
2001-08-15,FIFA World Cup qualification,Paraguay,A,8.0,2.0,0.0
2001-09-05,FIFA World Cup qualification,Argentina,A,3.0,1.0,2.0
2001-10-07,FIFA World Cup qualification,Chile,C,37.0,2.0,0.0
2001-11-07,FIFA World Cup qualification,Bolivia,E,81.0,1.0,3.0
2001-11-14,FIFA World Cup qualification,Venezuela,E,89.0,3.0,0.0
2002-01-31,Friendly,Bolivia,E,70.0,6.0,0.0
2002-02-06,Friendly,Saudi Arabia,C,32.0,1.0,0.0
2002-03-07,Friendly,Iceland,D,54.0,6.0,1.0
2002-03-27,Friendly,Serbia,E,100.0,1.0,0.0
2002-04-17,Friendly,Portugal,A,5.0,1.0,1.0
2002-05-18,Friendly,Catalonia,E,100.0,3.0,1.0
2002-05-25,Friendly,Malaysia,E,112.0,4.0,0.0
2002-06-03,FIFA World Cup,Turkey,B,22.0,2.0,1.0
2002-06-08,FIFA World Cup,China PR,D,50.0,4.0,0.0
2002-06-13,FIFA World Cup,Costa Rica,C,29.0,5.0,2.0
2002-06-17,FIFA World Cup,Belgium,B,23.0,2.0,0.0
2002-06-21,FIFA World Cup,England,B,12.0,2.0,1.0
2002-06-26,FIFA World Cup,Turkey,B,22.0,1.0,0.0
2002-06-30,FIFA World Cup,Germany,B,11.0,2.0,0.0
2002-08-21,Friendly,Paraguay,B,19.0,0.0,1.0
2002-11-20,Friendly,Korea Republic,B,20.0,3.0,2.0
2003-02-12,Friendly,China PR,E,64.0,0.0,0.0
2003-03-29,Friendly,Portugal,B,12.0,1.0,2.0
2003-04-30,Friendly,Mexico,A,9.0,0.0,0.0
2003-06-11,Friendly,Nigeria,C,32.0,3.0,0.0
2003-06-19,Confederations Cup,Cameroon,B,18.0,0.0,1.0
2003-06-21,Confederations Cup,USA,A,10.0,1.0,0.0
2003-06-23,Confederations Cup,Turkey,A,8.0,2.0,2.0
2003-07-13,Gold Cup,Mexico,B,11.0,0.0,1.0
2003-07-15,Gold Cup,Honduras,D,42.0,2.0,1.0
2003-07-19,Gold Cup,Colombia,B,22.0,2.0,0.0
2003-07-23,Gold Cup,USA,A,9.0,2.0,1.0
2003-07-27,Gold Cup,Mexico,B,11.0,0.0,1.0
2003-09-07,FIFA World Cup qualification,Colombia,B,24.0,2.0,1.0
2003-09-10,FIFA World Cup qualification,Ecuador,C,37.0,1.0,0.0
2003-10-12,Friendly,Jamaica,D,46.0,1.0,0.0
2003-11-16,FIFA World Cup qualification,Peru,E,72.0,1.0,1.0
2003-11-19,FIFA World Cup qualification,Uruguay,B,20.0,3.0,3.0
2004-02-18,Friendly,Republic of Ireland,B,15.0,0.0,0.0
2004-03-31,FIFA World Cup qualification,Paraguay,C,26.0,0.0,0.0
